Corrida5('N =', 150, '   tiempo transcurrido =', 0.00016770000001997687, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 20125223611.198338, '[flops/seg]')
Corrida5('N =', 250, '   tiempo transcurrido =', 0.0006017000014253426, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 25968090348.988823, '[flops/seg]')
Corrida5('N =', 500, '   tiempo transcurrido =', 0.003657299999758834, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 34178218906.910187, '[flops/seg]')
Corrida5('N =', 700, '   tiempo transcurrido =', 0.012592999999469612, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 27237354086.750286, '[flops/seg]')
Corrida5('N =', 750, '   tiempo transcurrido =', 0.013100100000883685, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 32203952639.410526, '[flops/seg]')
Corrida5('N =', 1000, '   tiempo transcurrido =', 0.03867360000003828, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 25857432460.36082, '[flops/seg]')
Corrida5('N =', 2000, '   tiempo transcurrido =', 0.1673999000013282, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 47789753756.940865, '[flops/seg]')
Corrida5('N =', 5000, '   tiempo transcurrido =', 2.803721999998743, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 44583592809.86348, '[flops/seg]')

Corrida6('N =', 1, '   tiempo transcurrido =', 0.014972300001318217, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 66.79000553769002, '[flops/seg]')
Corrida6('N =', 4, '   tiempo transcurrido =', 7.45999986975221e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 857908.8621636372, '[flops/seg]')
Corrida6('N =', 10, '   tiempo transcurrido =', 2.409999979136046e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 41493776.29283164, '[flops/seg]')
Corrida6('N =', 16, '   tiempo transcurrido =', 1.7300000763498247e-05, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 236762995.33132187, '[flops/seg]')
Corrida6('N =', 20, '   tiempo transcurrido =', 2.080000012938399e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 384615382.22292924, '[flops/seg]')
